Test Date Time,22--10--19--09:47:43
Frame Grabbed,1005
FPS,999.916673610532
LED Left,2.69,LED Right,2.69
Time To Test,0.000

Frame No.,X(um),Y(um),Z(um),TX(min),TY(min),TZ(min),,N1 X,N1 Y,N2 X,N2 Y,W1 X,W1 Y, W2 X, W2 Y,S1 X,S1 Y,S2 X,S2 Y,E1 X,E1 Y,E2 X,E2 Y,tN1 X,tN1 Y,tN2 X,tN2 Y,tS1 X,tS1 Y,tS2 X,tS2 Y
0,0.00,0.00,0.00,0.00,0.00,0.00,,587.4576,54.6927,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3463,51.7842,0.0000,0.0000,421.3688,221.5176,0.0000,0.0000,590.1489,282.6821,0.0000,0.0000,260.6487,277.1144,0.0000,0.0000,
1,-0.30,0.02,0.12,-0.13,0.24,0.13,,587.4558,54.6900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3556,51.7714,0.0000,0.0000,421.3830,221.5176,0.0000,0.0000,590.1576,282.6774,0.0000,0.0000,260.6712,277.1223,0.0000,0.0000,
2,-0.12,0.08,0.19,0.08,-0.08,0.01,,587.4596,54.6853,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3635,51.7836,0.0000,0.0000,421.3796,221.5090,0.0000,0.0000,590.1560,282.6869,0.0000,0.0000,260.6561,277.1200,0.0000,0.0000,
3,-0.08,0.01,0.09,-0.08,0.16,-0.02,,587.4565,54.6935,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3537,51.7720,0.0000,0.0000,421.3650,221.5163,0.0000,0.0000,590.1479,282.6837,0.0000,0.0000,260.6607,277.1142,0.0000,0.0000,
4,-0.14,0.10,0.10,0.15,0.02,-0.07,,587.4533,54.6979,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3591,51.7838,0.0000,0.0000,421.3621,221.5116,0.0000,0.0000,590.1546,282.6921,0.0000,0.0000,260.6645,277.1178,0.0000,0.0000,
5,-0.05,0.06,0.20,-0.26,-0.15,-0.20,,587.4693,54.6800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3412,51.7704,0.0000,0.0000,421.3757,221.5196,0.0000,0.0000,590.1563,282.6952,0.0000,0.0000,260.6588,277.1087,0.0000,0.0000,
6,-0.20,0.00,0.04,0.32,-0.10,0.01,,587.4677,54.6939,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3529,51.7934,0.0000,0.0000,421.3750,221.5040,0.0000,0.0000,590.1566,282.6813,0.0000,0.0000,260.6663,277.1149,0.0000,0.0000,
7,-0.01,0.10,0.10,0.27,-0.09,-0.10,,587.4594,54.6976,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3534,51.7893,0.0000,0.0000,421.3688,221.5072,0.0000,0.0000,590.1502,282.6934,0.0000,0.0000,260.6549,277.1160,0.0000,0.0000,
8,-0.08,0.07,0.19,-0.01,0.04,-0.02,,587.4559,54.6882,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3527,51.7756,0.0000,0.0000,421.3680,221.5116,0.0000,0.0000,590.1498,282.6872,0.0000,0.0000,260.6592,277.1181,0.0000,0.0000,
9,-0.06,0.03,0.03,0.00,-0.14,-0.13,,587.4565,54.6916,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3556,51.7852,0.0000,0.0000,421.3687,221.5174,0.0000,0.0000,590.1558,282.6904,0.0000,0.0000,260.6567,277.1099,0.0000,0.0000,
